Trait,Species,Individuals,Deviation,Direction,Power,Directional_power,Mean_departure
Jump_Takeoff_Velocity_SVL.second,4,5,0,Null,0.059,NA,0.0119
Jump_Takeoff_Velocity_SVL.second,4,5,20,Negative,0.471,0.471,-0.1868
Jump_Takeoff_Velocity_SVL.second,4,5,20,Positive,0.256,0.256,0.2145
Jump_Takeoff_Velocity_SVL.second,4,5,50,Negative,1,1,-0.4925
Jump_Takeoff_Velocity_SVL.second,4,5,50,Positive,0.803,0.803,0.5281
Jump_Takeoff_Velocity_SVL.second,4,5,80,Negative,1,1,-0.7968
Jump_Takeoff_Velocity_SVL.second,4,5,80,Positive,0.937,0.937,0.8309
Jump_Takeoff_Velocity_SVL.second,4,8,0,Null,0.052,NA,0.0104
Jump_Takeoff_Velocity_SVL.second,4,8,20,Negative,0.651,0.651,-0.1913
Jump_Takeoff_Velocity_SVL.second,4,8,20,Positive,0.379,0.379,0.2054
Jump_Takeoff_Velocity_SVL.second,4,8,50,Negative,1,1,-0.495
Jump_Takeoff_Velocity_SVL.second,4,8,50,Positive,0.929,0.929,0.5157
Jump_Takeoff_Velocity_SVL.second,4,8,80,Negative,1,1,-0.7973
Jump_Takeoff_Velocity_SVL.second,4,8,80,Positive,0.997,0.997,0.8182
Jump_Takeoff_Velocity_SVL.second,4,10,0,Null,0.044,NA,0.0043
Jump_Takeoff_Velocity_SVL.second,4,10,20,Negative,0.732,0.732,-0.1945
Jump_Takeoff_Velocity_SVL.second,4,10,20,Positive,0.496,0.496,0.2115
Jump_Takeoff_Velocity_SVL.second,4,10,50,Negative,1,1,-0.4967
Jump_Takeoff_Velocity_SVL.second,4,10,50,Positive,0.966,0.966,0.5046
Jump_Takeoff_Velocity_SVL.second,4,10,80,Negative,1,1,-0.7982
Jump_Takeoff_Velocity_SVL.second,4,10,80,Positive,0.999,0.999,0.816
Jump_Takeoff_Velocity_SVL.second,5,5,0,Null,0.035,NA,0.0168
Jump_Takeoff_Velocity_SVL.second,5,5,20,Negative,0.625,0.625,-0.1889
Jump_Takeoff_Velocity_SVL.second,5,5,20,Positive,0.411,0.411,0.2181
Jump_Takeoff_Velocity_SVL.second,5,5,50,Negative,1,1,-0.4941
Jump_Takeoff_Velocity_SVL.second,5,5,50,Positive,0.954,0.954,0.5164
Jump_Takeoff_Velocity_SVL.second,5,5,80,Negative,1,1,-0.7974
Jump_Takeoff_Velocity_SVL.second,5,5,80,Positive,0.997,0.997,0.8349
Jump_Takeoff_Velocity_SVL.second,5,8,0,Null,0.036,NA,0.0087
Jump_Takeoff_Velocity_SVL.second,5,8,20,Negative,0.814,0.814,-0.1933
Jump_Takeoff_Velocity_SVL.second,5,8,20,Positive,0.593,0.593,0.2162
Jump_Takeoff_Velocity_SVL.second,5,8,50,Negative,1,1,-0.4942
Jump_Takeoff_Velocity_SVL.second,5,8,50,Positive,0.994,0.994,0.5177
Jump_Takeoff_Velocity_SVL.second,5,8,80,Negative,1,1,-0.7976
Jump_Takeoff_Velocity_SVL.second,5,8,80,Positive,1,1,0.8135
Jump_Takeoff_Velocity_SVL.second,5,10,0,Null,0.053,NA,0.009
Jump_Takeoff_Velocity_SVL.second,5,10,20,Negative,0.89,0.89,-0.1956
Jump_Takeoff_Velocity_SVL.second,5,10,20,Positive,0.657,0.657,0.2101
Jump_Takeoff_Velocity_SVL.second,5,10,50,Negative,1,1,-0.4967
Jump_Takeoff_Velocity_SVL.second,5,10,50,Positive,0.999,0.999,0.5085
Jump_Takeoff_Velocity_SVL.second,5,10,80,Negative,1,1,-0.7983
Jump_Takeoff_Velocity_SVL.second,5,10,80,Positive,1,1,0.811
Jump_Takeoff_Velocity_SVL.second,6,5,0,Null,0.058,NA,0.0087
Jump_Takeoff_Velocity_SVL.second,6,5,20,Negative,0.75,0.75,-0.1875
Jump_Takeoff_Velocity_SVL.second,6,5,20,Positive,0.534,0.534,0.2174
Jump_Takeoff_Velocity_SVL.second,6,5,50,Negative,1,1,-0.4914
Jump_Takeoff_Velocity_SVL.second,6,5,50,Positive,0.994,0.994,0.5166
Jump_Takeoff_Velocity_SVL.second,6,5,80,Negative,1,1,-0.7971
Jump_Takeoff_Velocity_SVL.second,6,5,80,Positive,1,1,0.8301
Jump_Takeoff_Velocity_SVL.second,6,8,0,Null,0.054,NA,0.0074
Jump_Takeoff_Velocity_SVL.second,6,8,20,Negative,0.888,0.888,-0.1923
Jump_Takeoff_Velocity_SVL.second,6,8,20,Positive,0.737,0.737,0.2136
Jump_Takeoff_Velocity_SVL.second,6,8,50,Negative,1,1,-0.4941
Jump_Takeoff_Velocity_SVL.second,6,8,50,Positive,1,1,0.5143
Jump_Takeoff_Velocity_SVL.second,6,8,80,Negative,1,1,-0.798
Jump_Takeoff_Velocity_SVL.second,6,8,80,Positive,1,1,0.8148
Jump_Takeoff_Velocity_SVL.second,6,10,0,Null,0.048,NA,0.0096
Jump_Takeoff_Velocity_SVL.second,6,10,20,Negative,0.941,0.941,-0.1954
Jump_Takeoff_Velocity_SVL.second,6,10,20,Positive,0.82,0.82,0.2081
Jump_Takeoff_Velocity_SVL.second,6,10,50,Negative,1,1,-0.4962
Jump_Takeoff_Velocity_SVL.second,6,10,50,Positive,1,1,0.5098
Jump_Takeoff_Velocity_SVL.second,6,10,80,Negative,1,1,-0.7985
Jump_Takeoff_Velocity_SVL.second,6,10,80,Positive,1,1,0.8132
Jump_Takeoff_Velocity_SVL.second,7,5,0,Null,0.043,NA,0.0164
Jump_Takeoff_Velocity_SVL.second,7,5,20,Negative,0.815,0.815,-0.1906
Jump_Takeoff_Velocity_SVL.second,7,5,20,Positive,0.64,0.64,0.218
Jump_Takeoff_Velocity_SVL.second,7,5,50,Negative,1,1,-0.4914
Jump_Takeoff_Velocity_SVL.second,7,5,50,Positive,0.998,0.998,0.5166
Jump_Takeoff_Velocity_SVL.second,7,5,80,Negative,1,1,-0.7968
Jump_Takeoff_Velocity_SVL.second,7,5,80,Positive,1,1,0.8293
Jump_Takeoff_Velocity_SVL.second,7,8,0,Null,0.051,NA,0.0102
Jump_Takeoff_Velocity_SVL.second,7,8,20,Negative,0.941,0.941,-0.1917
Jump_Takeoff_Velocity_SVL.second,7,8,20,Positive,0.831,0.831,0.2108
Jump_Takeoff_Velocity_SVL.second,7,8,50,Negative,1,1,-0.4954
Jump_Takeoff_Velocity_SVL.second,7,8,50,Positive,1,1,0.5155
Jump_Takeoff_Velocity_SVL.second,7,8,80,Negative,1,1,-0.7984
Jump_Takeoff_Velocity_SVL.second,7,8,80,Positive,1,1,0.8156
Jump_Takeoff_Velocity_SVL.second,7,10,0,Null,0.059,NA,0.0077
Jump_Takeoff_Velocity_SVL.second,7,10,20,Negative,0.982,0.982,-0.1945
Jump_Takeoff_Velocity_SVL.second,7,10,20,Positive,0.923,0.923,0.2099
Jump_Takeoff_Velocity_SVL.second,7,10,50,Negative,1,1,-0.4959
Jump_Takeoff_Velocity_SVL.second,7,10,50,Positive,1,1,0.5084
Jump_Takeoff_Velocity_SVL.second,7,10,80,Negative,1,1,-0.7984
Jump_Takeoff_Velocity_SVL.second,7,10,80,Positive,1,1,0.8173
Jump_Takeoff_Velocity_SVL.second,8,5,0,Null,0.058,NA,0.0135
Jump_Takeoff_Velocity_SVL.second,8,5,20,Negative,0.857,0.857,-0.1875
Jump_Takeoff_Velocity_SVL.second,8,5,20,Positive,0.739,0.739,0.2174
Jump_Takeoff_Velocity_SVL.second,8,5,50,Negative,1,1,-0.4919
Jump_Takeoff_Velocity_SVL.second,8,5,50,Positive,1,1,0.526
Jump_Takeoff_Velocity_SVL.second,8,5,80,Negative,1,1,-0.7968
Jump_Takeoff_Velocity_SVL.second,8,5,80,Positive,1,1,0.8271
Jump_Takeoff_Velocity_SVL.second,8,8,0,Null,0.049,NA,0.0095
Jump_Takeoff_Velocity_SVL.second,8,8,20,Negative,0.973,0.973,-0.1945
Jump_Takeoff_Velocity_SVL.second,8,8,20,Positive,0.906,0.906,0.2115
Jump_Takeoff_Velocity_SVL.second,8,8,50,Negative,1,1,-0.4949
Jump_Takeoff_Velocity_SVL.second,8,8,50,Positive,1,1,0.5167
Jump_Takeoff_Velocity_SVL.second,8,8,80,Negative,1,1,-0.7977
Jump_Takeoff_Velocity_SVL.second,8,8,80,Positive,1,1,0.8136
Jump_Takeoff_Velocity_SVL.second,8,10,0,Null,0.06,NA,0.0091
Jump_Takeoff_Velocity_SVL.second,8,10,20,Negative,0.992,0.992,-0.1943
Jump_Takeoff_Velocity_SVL.second,8,10,20,Positive,0.953,0.953,0.2087
Jump_Takeoff_Velocity_SVL.second,8,10,50,Negative,1,1,-0.4962
Jump_Takeoff_Velocity_SVL.second,8,10,50,Positive,1,1,0.513
Jump_Takeoff_Velocity_SVL.second,8,10,80,Negative,1,1,-0.7983
Jump_Takeoff_Velocity_SVL.second,8,10,80,Positive,1,1,0.8125
Jump_Takeoff_Velocity_SVL.second,9,5,0,Null,0.045,NA,0.0138
Jump_Takeoff_Velocity_SVL.second,9,5,20,Negative,0.902,0.902,-0.1875
Jump_Takeoff_Velocity_SVL.second,9,5,20,Positive,0.829,0.829,0.2201
Jump_Takeoff_Velocity_SVL.second,9,5,50,Negative,1,1,-0.4905
Jump_Takeoff_Velocity_SVL.second,9,5,50,Positive,1,1,0.5214
Jump_Takeoff_Velocity_SVL.second,9,5,80,Negative,1,1,-0.7967
Jump_Takeoff_Velocity_SVL.second,9,5,80,Positive,1,1,0.827
Jump_Takeoff_Velocity_SVL.second,9,8,0,Null,0.045,NA,0.0103
Jump_Takeoff_Velocity_SVL.second,9,8,20,Negative,0.986,0.986,-0.1922
Jump_Takeoff_Velocity_SVL.second,9,8,20,Positive,0.944,0.944,0.2108
Jump_Takeoff_Velocity_SVL.second,9,8,50,Negative,1,1,-0.4967
Jump_Takeoff_Velocity_SVL.second,9,8,50,Positive,1,1,0.5187
Jump_Takeoff_Velocity_SVL.second,9,8,80,Negative,1,1,-0.7986
Jump_Takeoff_Velocity_SVL.second,9,8,80,Positive,1,1,0.8135
Jump_Takeoff_Velocity_SVL.second,9,10,0,Null,0.056,NA,0.0062
Jump_Takeoff_Velocity_SVL.second,9,10,20,Negative,0.993,0.993,-0.195
Jump_Takeoff_Velocity_SVL.second,9,10,20,Positive,0.979,0.979,0.2078
Jump_Takeoff_Velocity_SVL.second,9,10,50,Negative,1,1,-0.4965
Jump_Takeoff_Velocity_SVL.second,9,10,50,Positive,1,1,0.5127
Jump_Takeoff_Velocity_SVL.second,9,10,80,Negative,1,1,-0.7984
Jump_Takeoff_Velocity_SVL.second,9,10,80,Positive,1,1,0.8099
Jump_Takeoff_Velocity_SVL.second,10,5,0,Null,0.041,NA,0.0148
Jump_Takeoff_Velocity_SVL.second,10,5,20,Negative,0.927,0.927,-0.1873
Jump_Takeoff_Velocity_SVL.second,10,5,20,Positive,0.873,0.873,0.2196
Jump_Takeoff_Velocity_SVL.second,10,5,50,Negative,1,1,-0.4929
Jump_Takeoff_Velocity_SVL.second,10,5,50,Positive,1,1,0.5251
Jump_Takeoff_Velocity_SVL.second,10,5,80,Negative,1,1,-0.797
Jump_Takeoff_Velocity_SVL.second,10,5,80,Positive,1,1,0.8262
Jump_Takeoff_Velocity_SVL.second,10,8,0,Null,0.058,NA,0.0105
Jump_Takeoff_Velocity_SVL.second,10,8,20,Negative,0.992,0.992,-0.1939
Jump_Takeoff_Velocity_SVL.second,10,8,20,Positive,0.965,0.965,0.2114
Jump_Takeoff_Velocity_SVL.second,10,8,50,Negative,1,1,-0.4954
Jump_Takeoff_Velocity_SVL.second,10,8,50,Positive,1,1,0.5137
Jump_Takeoff_Velocity_SVL.second,10,8,80,Negative,1,1,-0.7979
Jump_Takeoff_Velocity_SVL.second,10,8,80,Positive,1,1,0.8179
Jump_Takeoff_Velocity_SVL.second,10,10,0,Null,0.053,NA,0.0086
Jump_Takeoff_Velocity_SVL.second,10,10,20,Negative,0.998,0.998,-0.1936
Jump_Takeoff_Velocity_SVL.second,10,10,20,Positive,0.992,0.992,0.2083
Jump_Takeoff_Velocity_SVL.second,10,10,50,Negative,1,1,-0.4963
Jump_Takeoff_Velocity_SVL.second,10,10,50,Positive,1,1,0.5098
Jump_Takeoff_Velocity_SVL.second,10,10,80,Negative,1,1,-0.7981
Jump_Takeoff_Velocity_SVL.second,10,10,80,Positive,1,1,0.8126
Mean_Swim_Speed_SVL.second,4,5,0,Null,0.038,NA,0.0095
Mean_Swim_Speed_SVL.second,4,5,20,Negative,0.737,0.737,-0.1949
Mean_Swim_Speed_SVL.second,4,5,20,Positive,0.488,0.488,0.2085
Mean_Swim_Speed_SVL.second,4,5,50,Negative,1,1,-0.4957
Mean_Swim_Speed_SVL.second,4,5,50,Positive,0.973,0.973,0.5095
Mean_Swim_Speed_SVL.second,4,5,80,Negative,1,1,-0.7984
Mean_Swim_Speed_SVL.second,4,5,80,Positive,0.999,0.999,0.8117
Mean_Swim_Speed_SVL.second,4,8,0,Null,0.053,NA,0.0042
Mean_Swim_Speed_SVL.second,4,8,20,Negative,0.891,0.891,-0.1967
Mean_Swim_Speed_SVL.second,4,8,20,Positive,0.683,0.683,0.2048
Mean_Swim_Speed_SVL.second,4,8,50,Negative,1,1,-0.4975
Mean_Swim_Speed_SVL.second,4,8,50,Positive,0.999,0.999,0.5065
Mean_Swim_Speed_SVL.second,4,8,80,Negative,1,1,-0.7995
Mean_Swim_Speed_SVL.second,4,8,80,Positive,1,1,0.8079
Mean_Swim_Speed_SVL.second,4,10,0,Null,0.055,NA,0.0031
Mean_Swim_Speed_SVL.second,4,10,20,Negative,0.96,0.96,-0.1973
Mean_Swim_Speed_SVL.second,4,10,20,Positive,0.779,0.779,0.2055
Mean_Swim_Speed_SVL.second,4,10,50,Negative,1,1,-0.4986
Mean_Swim_Speed_SVL.second,4,10,50,Positive,1,1,0.5067
Mean_Swim_Speed_SVL.second,4,10,80,Negative,1,1,-0.7998
Mean_Swim_Speed_SVL.second,4,10,80,Positive,1,1,0.8049
Mean_Swim_Speed_SVL.second,5,5,0,Null,0.052,NA,0.0045
Mean_Swim_Speed_SVL.second,5,5,20,Negative,0.897,0.897,-0.1942
Mean_Swim_Speed_SVL.second,5,5,20,Positive,0.678,0.678,0.2067
Mean_Swim_Speed_SVL.second,5,5,50,Negative,1,1,-0.4951
Mean_Swim_Speed_SVL.second,5,5,50,Positive,0.999,0.999,0.5102
Mean_Swim_Speed_SVL.second,5,5,80,Negative,1,1,-0.7983
Mean_Swim_Speed_SVL.second,5,5,80,Positive,1,1,0.8127
Mean_Swim_Speed_SVL.second,5,8,0,Null,0.041,NA,0.0049
Mean_Swim_Speed_SVL.second,5,8,20,Negative,0.957,0.957,-0.1962
Mean_Swim_Speed_SVL.second,5,8,20,Positive,0.884,0.884,0.2057
Mean_Swim_Speed_SVL.second,5,8,50,Negative,1,1,-0.4977
Mean_Swim_Speed_SVL.second,5,8,50,Positive,1,1,0.5055
Mean_Swim_Speed_SVL.second,5,8,80,Negative,1,1,-0.799
Mean_Swim_Speed_SVL.second,5,8,80,Positive,1,1,0.8094
Mean_Swim_Speed_SVL.second,5,10,0,Null,0.051,NA,0.0038
Mean_Swim_Speed_SVL.second,5,10,20,Negative,0.985,0.985,-0.1967
Mean_Swim_Speed_SVL.second,5,10,20,Positive,0.915,0.915,0.2035
Mean_Swim_Speed_SVL.second,5,10,50,Negative,1,1,-0.4987
Mean_Swim_Speed_SVL.second,5,10,50,Positive,1,1,0.5034
Mean_Swim_Speed_SVL.second,5,10,80,Negative,1,1,-0.7995
Mean_Swim_Speed_SVL.second,5,10,80,Positive,1,1,0.807
Mean_Swim_Speed_SVL.second,6,5,0,Null,0.061,NA,0.006
Mean_Swim_Speed_SVL.second,6,5,20,Negative,0.942,0.942,-0.1921
Mean_Swim_Speed_SVL.second,6,5,20,Positive,0.831,0.831,0.2092
Mean_Swim_Speed_SVL.second,6,5,50,Negative,1,1,-0.4954
Mean_Swim_Speed_SVL.second,6,5,50,Positive,1,1,0.5144
Mean_Swim_Speed_SVL.second,6,5,80,Negative,1,1,-0.7985
Mean_Swim_Speed_SVL.second,6,5,80,Positive,1,1,0.8139
Mean_Swim_Speed_SVL.second,6,8,0,Null,0.059,NA,0.0045
Mean_Swim_Speed_SVL.second,6,8,20,Negative,0.991,0.991,-0.1974
Mean_Swim_Speed_SVL.second,6,8,20,Positive,0.95,0.95,0.2056
Mean_Swim_Speed_SVL.second,6,8,50,Negative,1,1,-0.4978
Mean_Swim_Speed_SVL.second,6,8,50,Positive,1,1,0.5066
Mean_Swim_Speed_SVL.second,6,8,80,Negative,1,1,-0.7991
Mean_Swim_Speed_SVL.second,6,8,80,Positive,1,1,0.8146
Mean_Swim_Speed_SVL.second,6,10,0,Null,0.061,NA,0.0027
Mean_Swim_Speed_SVL.second,6,10,20,Negative,0.999,0.999,-0.1971
Mean_Swim_Speed_SVL.second,6,10,20,Positive,0.984,0.984,0.2047
Mean_Swim_Speed_SVL.second,6,10,50,Negative,1,1,-0.4973
Mean_Swim_Speed_SVL.second,6,10,50,Positive,1,1,0.5055
Mean_Swim_Speed_SVL.second,6,10,80,Negative,1,1,-0.7995
Mean_Swim_Speed_SVL.second,6,10,80,Positive,1,1,0.8046
Mean_Swim_Speed_SVL.second,7,5,0,Null,0.036,NA,0.0062
Mean_Swim_Speed_SVL.second,7,5,20,Negative,0.98,0.98,-0.1935
Mean_Swim_Speed_SVL.second,7,5,20,Positive,0.923,0.923,0.2095
Mean_Swim_Speed_SVL.second,7,5,50,Negative,1,1,-0.4951
Mean_Swim_Speed_SVL.second,7,5,50,Positive,1,1,0.51
Mean_Swim_Speed_SVL.second,7,5,80,Negative,1,1,-0.7984
Mean_Swim_Speed_SVL.second,7,5,80,Positive,1,1,0.8134
Mean_Swim_Speed_SVL.second,7,8,0,Null,0.049,NA,0.0043
Mean_Swim_Speed_SVL.second,7,8,20,Negative,1,1,-0.1961
Mean_Swim_Speed_SVL.second,7,8,20,Positive,0.984,0.984,0.2057
Mean_Swim_Speed_SVL.second,7,8,50,Negative,1,1,-0.4981
Mean_Swim_Speed_SVL.second,7,8,50,Positive,1,1,0.5105
Mean_Swim_Speed_SVL.second,7,8,80,Negative,1,1,-0.7989
Mean_Swim_Speed_SVL.second,7,8,80,Positive,1,1,0.8108
Mean_Swim_Speed_SVL.second,7,10,0,Null,0.054,NA,0.0022
Mean_Swim_Speed_SVL.second,7,10,20,Negative,1,1,-0.1978
Mean_Swim_Speed_SVL.second,7,10,20,Positive,0.996,0.996,0.2054
Mean_Swim_Speed_SVL.second,7,10,50,Negative,1,1,-0.4986
Mean_Swim_Speed_SVL.second,7,10,50,Positive,1,1,0.5067
Mean_Swim_Speed_SVL.second,7,10,80,Negative,1,1,-0.7991
Mean_Swim_Speed_SVL.second,7,10,80,Positive,1,1,0.8068
Mean_Swim_Speed_SVL.second,8,5,0,Null,0.058,NA,0.0069
