species,Individual,mass_g,SVL_mm,Perc_Muscle_Mass,Perc_Viscera_Mass,Hindlimb.SVL,Tarsal.Tibia_Length,Distal.Proximal_Aponeurosis_Width,PL_Fiber.Muscle_Length,PL_Pennation_Angle_deg,PL.Total_Muscle_Mass,Peak_Jump_Force_BW,Jump_Takeoff_Velocity_SVL.second,Total_Jump_Energy_J.kg_musc,Peak_Jump_Power_W.kg_musc,Mean_Swim_Speed_SVL.second,Swim_Frequency_Hz,Swim_Duty_Factor,Peak_Swim_Speed_SVL.second,Walking_Stride_Frequency_Hz,Walking_Speed_SVL.second,SM_Twitch.Tetanus_Ratio,SM_Time_to_Peak_Twitch_ms,SM_Time_to_Half_Twitch_Relax_ms,SM_Time_to_Peak_Tetanus_ms,SM_Time_to_Half_Peak_Tetanus_ms,SM_Time_to_Half_Tetanus_Relax_ms,SM_Time_to_50%_Force_Loss_s,PL_Twitch.Tetanus_Ratio,PL_Time_to_Peak_Twitch_ms,PL_Time_to_Half_Twitch_Relax_ms,PL_Time_to_Peak_Tetanus_ms,PL_Time_to_Half_Peak_Tetanus_ms,PL_Time_to_Half_Tetanus_Relax_ms,PL_Time_to_50Perc_Force_Loss_s
Ambystoma_tigrinum,1,41.678,95,0.02,0.31,0.44,0,0,1,0,0.14,,,,,5,6.67,0.5,5,1.82,1.15,0.547,0.05,0.1,0.246,0.023,0.136,37,0.439,0.05,0.067,0.32,0.036,0.096,34
Ambystoma_tigrinum,2,42.372,104,0.02,0.33,0.44,0,0,1,0,0.13,,,,,7.91,6.67,0.5,7.91,1.76,1.08,0.471,0.039,0.067,0.137,0.026,0.095,47,0.471,0.055,0.054,0.299,0.042,0.088,
Ambystoma_tigrinum,3,46.45,100,0.03,0.19,0.45,0,0,1,0,0.12,,,,,3.91,5,0.5,3.91,3.33,3.96,,,,,,,,,,,,,,
Bombina_orientalis,1,7.011,45,0.13,0.18,1.47,0.56,1.29,0.4,22,0.16,,,,,8.49,4.29,0.36,15.37,,,0.553,0.029,0.053,0.153,0.017,0.057,30,0.474,0.032,0.03,0.172,0.024,0.055,23
Bombina_orientalis,2,3.621,36,0.11,0.18,1.58,0.6,1.76,0.49,30.9,0.18,,,,,13.12,3.75,0.19,21.3,,,0.566,0.03,0.056,0.192,0.017,0.064,13,0.391,0.036,0.033,0.239,0.034,0.063,9
Bombina_orientalis,3,4.864,40,0.09,0.18,1.48,0.79,1.32,0.49,18.5,0.2,,,,,7.63,2.86,0.19,18.35,,,0.568,0.029,0.05,0.162,0.016,0.046,32,0.377,0.027,0.026,0.191,0.025,0.047,47
Bombina_orientalis,4,5.165,40,0.1,0.36,1.5,0.67,1.23,0.4,26.4,0.15,,,,,10.28,4.62,0.23,16.75,,,,,,,,,,0.488,0.032,0.027,0.164,0.022,0.042,7
Bombina_orientalis,5,3.395,42,0.07,0.14,1.52,0.67,1.76,,,0.19,3.77,29.5,13.9,371,,,,,,,,,,,,,,,,,,,,
Bombina_orientalis,6,4.965,42,0.08,0.21,1.43,0.67,2.13,,,0.17,4.68,33.2,15.3,496,,,,,,,,,,,,,,,,,,,,
Phrynoidis_aspera,1,91.983,100,0.21,0.11,1.84,0.62,1,0.3,30.6,0.12,4.89,27.1,21.9,413,3.06,0.97,0.13,8.45,,,0.656,0.032,0.034,0.167,0.018,0.097,23,0.497,0.046,0.029,0.198,0.041,0.083,17
