"mass_mg","mass_g","fit","lwr","upr","Predicted_mN","Lower_PI_mN","Upper_PI_mN"
5,0.005,-0.807258616197222,-1.27272834945253,-0.341788882941917,0.155862408791272,0.0533668600020304,0.455209290434053
6,0.006,-0.727244115027274,-1.18848633797457,-0.266001892079982,0.187394087800987,0.0647908476837579,0.541998529084951
7,0.007,-0.659592818229026,-1.11731094546884,-0.20187469098921,0.218981376695844,0.0763289089388486,0.628239601564654
8,0.008,-0.60099059938414,-1.05569408530251,-0.146287113465775,0.250616350015325,0.0879641913688811,0.714024126381311
9,0.009,-0.549299779000359,-1.00137409174105,-0.0972254662596689,0.282293072728553,0.0996841036897369,0.799419124623505
10,0.01,-0.503060764527173,-0.95280739411426,-0.0533141349400857,0.314006931878789,0.111478882327902,0.884475617345262
11,0.011,-0.461232488005381,-0.90889346218769,-0.0135715138230724,0.345754237936112,0.123340736621447,0.969233655687395
12,0.012,-0.423046263357225,-0.868819998434988,0.0227274717205386,0.377531972070403,0.135263307139832,1.05372545555184
13,0.013,-0.387918341901246,-0.831970340074435,0.0561336562719443,0.409337618086148,0.147241305671616,1.13797745011943
14,0.014,-0.355394966558977,-0.797865293052117,0.0870753599341628,0.441169046264,0.159270266573499,1.22201168848845
15,0.015,-0.325116428500258,-0.766125093002298,0.115892236001782,0.473024430483992,0.171346369499636,1.30584682061315
16,0.016,-0.296792747714091,-0.736443674703998,0.142858179275816,0.504902187495126,0.183466309609312,1.38949881032776
17,0.017,-0.27018673930478,-0.708570760268227,0.168197281658667,0.53680093139004,0.195627200355942,1.47298146380932
18,0.018,-0.24510192733031,-0.682299077857932,0.192095223197312,0.568719438802184,0.207826499239522,1.5563068292783
19,0.019,-0.221373730754655,-0.657455042773833,0.214707581264522,0.600656621841523,0.220061950122172,1.63948550470343
20,0.02,-0.198862912857124,-0.633891833100089,0.236166007385841,0.632611506729465,0.232331537734167,1.7225268783975
21,0.021,-0.177450630532062,-0.611484157571277,0.256582896507153,0.664583216706659,0.244633451313556,1.80543931975216
22,0.022,-0.157034636335332,-0.590124242480849,0.276054969810184,0.696570958195577,0.256966055198309,1.88823033231783
23,0.023,-0.137526325465379,-0.569718711954682,0.294666061023923,0.728574009477777,0.269327864786279,1.97090667802883
24,0.024,-0.118848411687176,-0.550186133102352,0.312489309728,0.760591711339021,0.281717526692774,2.05347447902488
25,0.025,-0.100933078000156,-0.531455062953527,0.329588906953214,0.792623459272273,0.294133802228699,2.13593930187003
26,0.026,-0.0837204902311963,-0.513462478930034,0.346021498467641,0.824668696927007,0.306575553533307,2.21830622779061
27,0.027,-0.0671575913033946,-0.496152505887692,0.361837323280903,0.85672691056522,0.31904173184954,2.30057991169874
28,0.028,-0.0511971148889283,-0.479475374930928,0.377081145153071,0.888797624337803,0.331531367544063,2.38276463213855
29,0.029,-0.0357967722225532,-0.463386565140211,0.391793020695105,0.920880396234836,0.344043561559492,2.46486433382358
30,0.03,-0.0209185768302089,-0.447846090961557,0.406008937301139,0.952974814593699,0.356577478051146,2.54688266408018
31,0.031,-0.00652828002291672,-0.432817906567455,0.419761346521622,0.985080495072079,0.369132338010299,2.62882300424293
32,0.032,0.00740510395595773,-0.418269404882064,0.433079612793979,1.01719707801097,0.381707413714305,2.71068849684038
33,0.033,0.020909699691583,-0.404170993773709,0.445990393156875,1.04932422612677,0.394302023874,2.79248206924851
34,0.034,0.0340111123652695,-0.390495735577956,0.458517960308495,1.08146162248265,0.406915529372361,2.87420645436355
35,0.035,0.046732719968039,-0.377219038925028,0.470684478861106,1.11360896869819,0.419547329507194,2.95586420874544
36,0.036,0.0590959243397391,-0.364318394021853,0.482510242701331,1.14576598336327,0.432196858665598,3.0374577286045
37,0.037,0.0711203678053454,-0.351773144237949,0.494013879848639,1.17793240062788,0.44486358337001,3.11898926394003
38,0.038,0.0828241209153935,-0.339564288180523,0.50521253001131,1.21010796894406,0.457546999645452,3.20046093108823
39,0.039,0.0942238457957187,-0.327674307502417,0.516121999093854,1.24229244994009,0.470246630665547,3.28187472389524
40,0.04,0.105334938812925,-0.316087016530185,0.526756894156035,1.27448561740989,0.482962024641434,3.3632325236971
41,0.041,0.116171655621098,-0.304787430476564,0.53713074171876,1.30668725640325,0.495692752923098,3.44453610826047
42,0.042,0.126747221137987,-0.293761649547807,0.547256091823781,1.33889716240469,0.508438408287116,3.5257871598147
43,0.043,0.137073926578996,-0.282996756699804,0.557144609857796,1.37111514059038,0.521198603388522,3.60698727228703
44,0.044,0.147163215334717,-0.272480727158606,0.566807157828039,1.40334100515396,0.533972969357641,3.6881379578364
45,0.045,0.157025759196706,-0.262202348117688,0.576253866511101,1.43557457869363,0.546761154525343,3.76924065276819
46,0.046,0.16667152620467,-0.252151147268738,0.585494199678077,1.46781569165352,0.559562823262383,3.85029672290084
47,0.047,0.176109841196454,-0.242317329025118,0.594537011418027,1.50006418181357,0.572377654920378,3.93130746844588
48,0.048,0.185349439982873,-0.232691717465442,0.603390597431187,1.53231989382277,0.585205342863557,4.01227412845489
49,0.049,0.194398517936235,-0.223265705165156,0.612062741037625,1.56458267877112,0.598045593581783,4.09319788487975
50,0.05,0.203264773669892,-0.21403120720182,0.620560754541604,1.59685239379655,0.610898125876515,4.17407986628722
51,0.051,0.211955448392185,-0.204980619718839,0.628891516503209,1.62912890172315,0.623762670112387,4.25492115126332
52,0.052,0.220477361438853,-0.196106782516119,0.637061505393824,1.66141207072779,0.63663896752793,4.33572277153911
53,0.053,0.228836942420768,-0.187402945207015,0.645076830048551,1.6937017740322,0.649526769599732,4.41648571486533
54,0.054,0.237040260366654,-0.178862736541294,0.652943257274603,1.72599788961841,0.662425837454962,4.49721092766066
55,0.055,0.245093050191684,-0.170480136545249,0.660666236928618,1.75830029996505,0.675335941327762,4.577899317455
56,0.056,0.253000736781121,-0.162249451174158,0.668250924736399,1.7906088918029,0.688256860055489,4.6585517551472
57,0.057,0.260768456942309,-0.154165289210058,0.675702203094676,1.82292355588781,0.701188380611247,4.7391690770943
58,0.058,0.268401079447496,-0.14622254117037,0.683024700065361,1.85524418678955,0.714130297669488,4.81975208704758
59,0.059,0.275903223363331,-0.138416360020925,0.690222806747586,1.88757068269517,0.727082413201836,4.90030155794904
60,0.06,0.28327927483984,-0.130742143511321,0.697300693191001,1.91990294522563,0.740044536100538,4.9808182336006
61,0.061,0.290533402511689,-0.123195517971559,0.704262322994937,1.95224087926472,0.753016481827246,5.06130283021698
62,0.062,0.297669571647132,-0.115772323427301,0.711111466721565,1.98458439279904,0.765998072085029,5.14175603787201
63,0.063,0.304691557164902,-0.108468599907033,0.717851714236837,2.01693339676841,0.778989134511735,5.22217852184749
64,0.064,0.311602955626006,-0.101280574828446,0.724486486080459,2.04928780492567,0.791989502392999,5.30257092389234
65,0.065,0.31840719629582,-0.0942046513635463,0.731019043955186,2.08164753370527,0.804999014393356,5.38293386339954
66,0.066,0.325107551361632,-0.0872373976927708,0.737452500416035,2.11401250209988,0.818017514304044,5.46326793850714
67,0.067,0.331707145381874,-0.0803755370678323,0.74378982783158,2.14638263154449,0.831044850806249,5.54357372712961
68,0.068,0.338208964035319,-0.0736159386113522,0.750033866681989,2.17875784580746,0.84408087724861,5.62385178792459
69,0.069,0.344615862231585,-0.0669556087886908,0.756187333251861,2.21113807088783,0.857125451437938,5.70410266120018
70,0.07,0.350930571638088,-0.060391683493895,0.762252826770071,2.24352323491873,0.870178435442189,5.78432686976717
71,0.071,0.357155707673109,-0.0539214206974618,0.76823283604368,2.27591326807619,0.883239695404804,5.86452491974023
72,0.072,0.363293776009788,-0.0475421936087285,0.774129745628305,2.3083081024931,0.896309101369612,5.94469730129188
