Sites,Number_sites,Additional_sites,Species_total,Mini_species,Mini_families,Mini_genera,Faith_PD,MPD,Mean_Difficulty,Total_Difficulty
Andasibe_Blue+Seychelles,2,1,8,4,2,4,1.70304164,0.590254519,2,16
Marojejy_White+Seychelles,2,1,8,4,2,4,1.64208057,0.596345274,2.5,20
MontagneDAmbre_Purple+Seychelles,2,1,5,3,2,3,1.47941796,0.774413482,1.6,8
Ranomafana_Pink+Seychelles,2,1,7,5,2,4,1.4592422,0.60396952,2.142857143,15
NosyBe_Red+Seychelles,2,1,5,4,2,3,1.44069613,0.760211926,1.6,8
Betampona_Green+Seychelles,2,1,5,2,1,2,1.31695641,0.704218336,1.8,9
Andasibe_Blue+NosyBe_Red+Seychelles,3,2,11,6,2,4,2.0132029,0.518249776,2,22
Andasibe_Blue+Marojejy_White+Seychelles,3,2,11,6,2,5,1.9733703,0.519017926,2.272727273,25
Andasibe_Blue+MontagneDAmbre_Purple+Seychelles,3,2,10,5,2,4,1.93467704,0.546908125,1.8,18
MontagneDAmbre_Purple+Marojejy_White+Seychelles,3,2,10,5,2,4,1.89488827,0.551755117,2.2,22
Marojejy_White+NosyBe_Red+Seychelles,3,2,11,6,2,4,1.85047587,0.512937116,2.363636364,26
Ranomafana_Pink+Andasibe_Blue+Seychelles,3,2,11,7,2,4,1.83041298,0.490152276,2.090909091,23
Ranomafana_Pink+Marojejy_White+Seychelles,3,2,11,7,2,5,1.80689536,0.497494924,2.454545455,27
Andasibe_Blue+Tsitomgambarika_Yellow+Seychelles,3,2,10,5,2,5,1.79114744,0.506203502,1.8,18
Ranomafana_Pink+NosyBe_Red+Seychelles,3,2,10,7,2,4,1.78358686,0.525627093,2.1,21
MontagneDAmbre_Purple+NosyBe_Red+Seychelles,3,2,8,5,2,3,1.73379622,0.61319434,1.75,14
Andasibe_Blue+Betampona_Green+Seychelles,3,2,9,4,2,4,1.73114744,0.542555422,1.888888889,17
Tsitomgambarika_Yellow+Marojejy_White+Seychelles,3,2,10,5,2,5,1.73018637,0.513290849,2.2,22
Ranomafana_Pink+MontagneDAmbre_Purple+Seychelles,3,2,9,6,2,4,1.705061,0.557396366,1.888888889,17
Betampona_Green+NosyBe_Red+Seychelles,3,2,8,4,2,3,1.67628347,0.592843453,1.875,15
Betampona_Green+Marojejy_White+Seychelles,3,2,9,4,2,4,1.67018637,0.549353641,2.333333333,21
