Species,Family,Locomotor_mode,Habitat,SVL,Specimen_prearranged,Site,Difficulty
Adelophryne_gutturosa,Eleutherodactylidae,Jumper,Terrestrial,14,NHML,NA,NA
Anodonthyla_eximia,Microhylidae,Walker_hopper,Terrestrial,11,NHMD,Ranomafana_Pink,2
Anodonthyla_moramora,Microhylidae,Walker_hopper,Arboreal,15,NHMD,Ranomafana_Pink,1
Anodonthyla_boulengerii,Microhylidae,Walker_hopper,Arboreal,20,NHML,Andasibe_Blue,3
Arthroleptis_tanneri,Arthroleptidae,Jumper,Terrestrial,44.09,Preliminary,LITERATURE,NA
Arthroleptis_xenodactyloides,Arthroleptidae,Jumper,Terrestrial,20,NHMD,NA,NA
Austrochaperina_gracilipes,Microhylidae,Walker_hopper,Terrestrial,20,NHML,NA,NA
Barbourula_busuangensis,Bombinatoridae,Swimmer,Aquatic,74.06,Preliminary,NA,NA
Brachycephalus_coloratus,Brachycephalidae,Walker_hopper,Terrestrial,10.31,No,LITERATURE,NA
Brachycephalus_pernix,Brachycephalidae,Walker_hopper,Terrestrial,12.81,No,LITERATURE,NA
Brachycephalus_sulfuratus,Brachycephalidae,Walker_hopper,Terrestrial,8.43,No,LITERATURE,NA
Chaperina_fusca,Microhylidae,Jumper,Arboreal,25,NHML,NA,NA
Chiasmocleis_albopunctata,Microhylidae,Burrower_walker_hopper,Terrestrial,22,NHML,LITERATURE,NA
Chiasmocleis_leucosticta,Microhylidae,Walker_hopper,Terrestrial,20,NHML,NA,NA
Choerophryne_rostellifer,Microhylidae,Walker_hopper,Terrestrial,17,NHML,NA,NA
Cophixalus_cheesmanae,Microhylidae,Burrower_walker_hopper,Arboreal,25,NHML,NA,NA
Cophixalus_neglectus,Microhylidae,Walker_hopper,Terrestrial,30,Pending,NA,NA
Cophixalus_pipilans,Microhylidae,Walker_hopper,Terrestrial,20,NHML,NA,NA
Cophixalus_riparius,Microhylidae,Walker_hopper,Terrestrial,45,NHML,NA,NA
Eleutherodactylus_coqui,Eleutherodactylidae,Jumper,Arboreal,41,NHML,NA,NA
Eupsophus_roseus,Alsodidae,Walker_hopper,Terrestrial,35.1,Preliminary,NA,NA
Gastrophryne_carolinensis,Microhylidae,Burrower_walker_hopper,Terrestrial,27.5,NHML,NA,NA
Ischnocnema_guentheri,Brachycephalidae,Jumper,Terrestrial,38.56,Preliminary,LITERATURE,NA
Leptodactylus_poecilochilus,Leptodactylidae,Jumper,Terrestrial,36.19,Preliminary,LITERATURE,NA
Microhyla_borneensis,Microhylidae,Walker_hopper,Arboreal,12.8,NHML,NA,NA
